# Section: Parameters
Param,Value
p,0.500000
k,20
step_size,0.100000
num_nodes,1000
goal_cost,1.500000
xy_min,-2.000000
xy_max,2.000000

# Section: Start
x,y
0.000000,0.000000

# Section: Goal
x,y
0.000000,-1.500000

# Section: Obstacles
center_x,center_y,radius

# Section: All_Edges
x1,y1,x2,y2
0.000000,0.000000,-1.266261,1.118764
0.000000,0.000000,-0.216669,-1.600100
0.000000,0.000000,0.000000,-1.500000
0.000000,0.000000,-0.665166,-1.428533
0.000000,0.000000,0.603554,-1.774354
0.000000,0.000000,0.887995,1.754211
0.000000,0.000000,-1.996885,1.968846
0.000000,0.000000,0.469926,0.446613
0.000000,0.000000,-1.971735,-1.907750
0.000000,0.000000,0.099099,-0.400556
0.000000,0.000000,-1.813337,1.895022
0.000000,0.000000,-1.068915,-1.637574
0.000000,0.000000,0.473544,-0.470152
0.000000,0.000000,1.932924,-0.132948
0.000000,0.000000,1.439762,0.721230
0.000000,0.000000,-0.198003,-1.946940
0.000000,0.000000,1.768807,0.253153
0.000000,0.000000,-0.458334,-1.936135
0.000000,0.000000,-1.076425,-1.035898
0.000000,0.000000,0.733054,0.439987
0.000000,0.000000,1.332780,-1.306541
0.000000,0.000000,-0.435758,-1.271056
0.000000,0.000000,1.021446,-0.299376
0.000000,0.000000,-1.168233,0.270801
0.000000,0.000000,-1.874747,1.369139
0.000000,0.000000,-0.200983,-0.419399
0.000000,0.000000,1.706635,0.909088
0.000000,0.000000,-0.693837,0.281776
0.000000,0.000000,0.083337,1.844688
0.000000,0.000000,1.378135,0.989280
0.000000,0.000000,0.158769,0.347005
0.000000,0.000000,1.861021,0.428137
0.000000,0.000000,-0.896003,-0.814906
0.000000,0.000000,-1.338932,-1.937454
0.000000,0.000000,-0.306394,-0.420474
0.000000,0.000000,-0.826047,-1.943681
0.000000,0.000000,-1.204630,0.845368
0.000000,0.000000,1.160702,0.423840
0.000000,0.000000,1.705204,0.604308
0.000000,0.000000,1.659839,1.400154
0.000000,0.000000,-0.202197,-1.618360
0.000000,0.000000,-0.516727,0.675365
0.000000,0.000000,0.663689,0.365191
0.000000,0.000000,-0.901113,0.244974
0.000000,0.000000,-0.468293,1.886848
0.000000,0.000000,1.395655,0.886918
0.000000,0.000000,-1.056060,-0.975727
0.000000,0.000000,-1.838266,0.842652
0.000000,0.000000,-1.556437,-0.242654
0.000000,0.000000,-1.193123,1.583054
0.000000,0.000000,-0.098519,0.253102
0.000000,0.000000,0.782064,-1.442674
0.000000,0.000000,0.417670,0.159364
0.000000,0.000000,-1.187755,1.771414
0.000000,0.000000,0.395462,0.779140
0.000000,0.000000,1.521871,0.497416
0.000000,0.000000,-0.173862,-1.126238
0.000000,0.000000,-0.911471,0.590760
0.000000,0.000000,0.136358,-0.060680
0.000000,0.000000,0.769744,-0.922351
0.000000,0.000000,-1.124943,0.232408
0.000000,0.000000,0.785217,0.849082
0.000000,0.000000,-0.619715,0.537405
0.000000,0.000000,0.722822,0.123738
0.000000,0.000000,-0.208867,0.211572
0.000000,0.000000,-1.163714,0.165792
0.000000,0.000000,0.675953,0.322747
0.000000,0.000000,-0.778545,-0.057545
0.000000,0.000000,0.170161,0.035256
0.000000,0.000000,-0.262423,-0.599686
0.000000,0.000000,-0.003226,0.288017
0.000000,0.000000,-0.676999,0.211060
0.000000,0.000000,-0.058881,-0.509253
0.000000,0.000000,-0.246103,0.688105
0.000000,0.000000,0.148330,-0.693395
0.000000,0.000000,0.553082,0.066785
0.000000,0.000000,0.628445,-0.257308
0.000000,0.000000,-0.614783,-0.141305
0.000000,0.000000,-0.306116,0.274081
0.000000,0.000000,0.137310,-0.013755
0.000000,0.000000,0.707080,-0.069916
0.000000,0.000000,-0.073332,-0.488050
0.000000,0.000000,0.113480,-0.254657
0.000000,0.000000,-0.007339,-0.095157
0.000000,0.000000,0.359824,-0.079816
0.000000,0.000000,0.189785,-0.196358
0.000000,0.000000,-0.159523,0.339064
0.000000,0.000000,0.194861,0.137694
0.000000,0.000000,-0.081672,0.336798
0.000000,0.000000,0.346142,0.257834
0.000000,0.000000,-0.538573,-0.048761
0.000000,0.000000,0.140147,-0.093522
0.000000,0.000000,0.194412,0.195688
0.000000,0.000000,-0.107335,0.424408
0.000000,0.000000,0.159124,-0.245021
0.000000,0.000000,-0.434072,0.127430
0.000000,0.000000,0.171397,-0.273887
0.000000,0.000000,-0.171999,0.415831
0.000000,0.000000,0.009153,0.159443
0.000000,0.000000,-0.054570,-0.364179
0.000000,0.000000,-0.164044,0.229221
0.000000,0.000000,0.110591,0.137824
0.000000,0.000000,-0.075648,-0.011952
0.000000,0.000000,0.022032,0.380196
0.000000,0.000000,-0.379008,-0.010140
0.000000,0.000000,-0.022905,0.293177
0.000000,0.000000,-0.179425,0.089738
0.000000,0.000000,0.121061,-0.235871
0.000000,0.000000,0.080672,-0.292732
0.000000,0.000000,0.251001,-0.113870
0.000000,0.000000,0.169915,-0.026893
0.000000,0.000000,0.173202,0.055983
0.000000,0.000000,0.001781,0.169455
0.000000,0.000000,-0.108432,0.141432
0.000000,0.000000,-0.229132,-0.216836
0.000000,0.000000,-0.087064,0.024430
0.000000,0.000000,0.154783,0.096637
0.000000,0.000000,-0.153069,-0.076376
-0.153069,-0.076376,-0.449619,-0.152212
0.154783,0.096637,0.385942,0.182748
-0.229132,-0.216836,-0.362089,-0.309244
-0.362089,-0.309244,-0.593839,-0.348826
-0.362089,-0.309244,-0.583413,-0.411345
-0.362089,-0.309244,-0.540807,-0.454157
-0.362089,-0.309244,-0.580635,-0.351476
-0.362089,-0.309244,-0.630465,-0.346334
-0.580635,-0.351476,-0.751408,-0.403816
-0.580635,-0.351476,-0.760252,-0.410728
-0.760252,-0.410728,-1.056570,-0.514312
-1.056570,-0.514312,-1.286216,-0.750913
-1.056570,-0.514312,-1.358400,-0.663964
-1.358400,-0.663964,-1.638073,-0.845258
-1.358400,-0.663964,-1.694333,-0.882529
-1.638073,-0.845258,-1.929936,-1.023411
-1.638073,-0.845258,-1.969863,-1.098669
-1.286216,-0.750913,-1.432902,-0.901839
-0.583413,-0.411345,-0.864582,-0.563396
0.169915,-0.026893,0.300653,-0.082582
0.251001,-0.113870,0.468623,-0.230360
0.468623,-0.230360,0.721827,-0.417820
0.080672,-0.292732,0.145925,-0.484714
0.080672,-0.292732,0.086920,-0.629386
0.080672,-0.292732,0.081186,-0.506150
0.086920,-0.629386,0.066544,-0.956683
0.066544,-0.956683,0.046628,-1.372089
0.046628,-1.372089,0.085203,-1.653179
0.046628,-1.372089,0.089924,-1.507109
0.145925,-0.484714,0.323029,-0.913252
0.145925,-0.484714,0.356434,-0.890937
0.356434,-0.890937,0.511578,-1.222904
0.356434,-0.890937,0.429226,-1.009840
0.429226,-1.009840,0.586424,-1.300906
0.323029,-0.913252,0.407742,-1.104604
-0.179425,0.089738,-0.368062,0.206890
-0.179425,0.089738,-0.382058,0.289711
-0.179425,0.089738,-0.411285,0.158930
-0.411285,0.158930,-0.478321,0.193999
-0.411285,0.158930,-0.541211,0.242709
-0.411285,0.158930,-0.642915,0.277774
-0.368062,0.206890,-0.696298,0.361056
-0.696298,0.361056,-0.717431,0.375532
-0.696298,0.361056,-0.997077,0.532392
-0.696298,0.361056,-0.940418,0.581159
-0.696298,0.361056,-0.745089,0.425484
-0.022905,0.293177,-0.062406,0.643280
-0.022905,0.293177,-0.053609,0.397476
-0.062406,0.643280,-0.075418,0.751139
-0.379008,-0.010140,-0.654518,0.090077
-0.379008,-0.010140,-0.508605,0.050461
-0.379008,-0.010140,-0.435829,0.004612
-0.654518,0.090077,-0.959067,0.060992
-0.959067,0.060992,-1.134704,0.073041
0.022032,0.380196,0.092339,0.680384
0.092339,0.680384,0.094409,0.790567
0.092339,0.680384,0.119360,0.828920
0.092339,0.680384,0.125063,0.882064
0.092339,0.680384,0.129925,0.885688
0.092339,0.680384,0.158225,0.911789
0.158225,0.911789,0.197657,0.987503
0.158225,0.911789,0.232169,1.247009
0.232169,1.247009,0.325222,1.452554
0.232169,1.247009,0.322176,1.468466
0.232169,1.247009,0.308691,1.508554
0.232169,1.247009,0.233174,1.530545
0.233174,1.530545,0.289170,1.921326
0.233174,1.530545,0.292166,1.730923
0.322176,1.468466,0.359483,1.915571
0.322176,1.468466,0.324650,1.676706
0.322176,1.468466,0.389112,1.945028
0.322176,1.468466,0.354217,1.929322
0.322176,1.468466,0.351537,1.794333
0.322176,1.468466,0.377163,1.745797
0.325222,1.452554,0.463405,1.775566
0.325222,1.452554,0.459801,1.647410
0.325222,1.452554,0.441619,1.797227
0.325222,1.452554,0.402438,1.763501
0.459801,1.647410,0.620037,1.968533
0.197657,0.987503,0.198464,1.322138
0.198464,1.322138,0.303994,1.669582
0.125063,0.882064,0.118647,1.260218
0.118647,1.260218,-0.053031,1.624395
